LM 1: Ethical Decision-Making,Framework Overview,Brutal (Above Exam),Skipping the Consider phase usually leads to?,Analysis paralysis,Gut-instinct decisions based on bias,Better outcomes,OptionB,Correct - Without analysis we rely on heuristics and mental shortcuts
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),Which is a critical step in the Identify phase?,Brainstorming options,Distinguishing facts from assumptions,Making the decision,OptionB,Correct - You must separate what you know from what you assume
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),Who is considered a Stakeholder?,Only the client,Only the employer,Client - Employer - Market - and Self,OptionC,Correct - Stakeholders include everyone affected by the decision
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),When should a Conflict of Interest be identified?,Identify Phase,Act Phase,Reflect Phase,OptionA,Correct - Conflicts are key facts that define duties
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),An analyst assumes a client wants growth based on age. This is?,A Fact,An Assumption,A Duty,OptionB,Correct - Unless stated by the client this is a dangerous assumption
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),Duties are owed to whom?,Client and Employer only,Client - Employer - and Market Integrity,Shareholders only,OptionB,Correct - The Code emphasizes duties to the market as well
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),What causes a Blind Spot in the Identify phase?,Overconfidence in own objectivity,Lack of data,Strict laws,OptionA,Correct - Believing you are ethical prevents you from seeing the dilemma
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),Labeling a problem as a 'business decision' instead of an 'ethical one' is?,Ethical Framing,Ethical Fading,Rationalization,OptionA,Correct - How we frame the problem dictates which part of our brain solves it
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),A bonus structure that rewards volume is?,A Fact (Situational Influence),Irrelevant,A Duty,OptionA,Correct - Incentives are facts that create pressure
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),Failing to identify Market Integrity as a stakeholder leads to?,Insider Trading or Manipulation,Better returns,Happy clients,OptionA,Correct - Ignoring the market allows cheating to help the client
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),Obedience to Authority blinds an analyst to?,Technical errors,Duties to other stakeholders,Legal rules,OptionB,Correct - Focusing on the boss makes you ignore the client
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),The purpose of the Consider phase is to?,Identify situational influences and options,Make the final call,Gather facts,OptionA,Correct - This is the analysis and brainstorming engine
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Which is a Situational Influence?,The Code of Ethics,A large pending bonus,Local Laws,OptionB,Correct - External pressures like money or power are influences
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Seeking Additional Guidance means?,Asking the client,Consulting compliance or a mentor,Checking stock prices,OptionB,Correct - Getting an outside perspective reduces bias
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Why brainstorm Alternative Actions?,To find the most profitable way,To avoid binary choices,To delay,OptionB,Correct - Usually there is a third way that solves the dilemma
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Which bias is analyzed here?,Overconfidence Bias,Home Bias,Sample Bias,OptionA,Correct - Overconfidence in ethics is a major risk
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),Acting because everyone else is doing it is?,Social Proof,Bystander Effect,Framing,OptionA,Correct - Copying the group behavior
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),Prioritizing salary over client duty is?,Self-serving bias,Rational choice,Loyalty,OptionA,Correct - Weighing personal gain over professional duty
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),Short-termism causes?,Ethical Fading,Better analysis,Compliance,OptionA,Correct - Focus on immediate goals obscures long-term risks
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),The Headline Test asks?,Will I make money?,How would this look in the newspaper?,Did I follow orders?,OptionB,Correct - It tests public defensibility
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),The Bystander Effect leads to?,Inaction in groups,Better group decisions,Whistleblowing,OptionA,Correct - Assuming someone else will handle it
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),The Act phase includes?,Brainstorming,Elevating to supervisor,Fact finding,OptionB,Correct - You either decide or escalate
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),Reflection happens?,Before the decision,After the outcome,During the act,OptionB,Correct - It is a post-mortem to learn
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),The main question in Reflect is?,Did we make money?,Did the outcome match the ethical intent?,Who is to blame?,OptionB,Correct - Comparing intent vs result
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),If a supervisor ignores an escalation you must?,Do nothing,Document and escalate further,Quit,OptionB,Correct - The duty continues until resolved
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),Reflection prevents?,Future errors,Market loss,Client complaints,OptionA,Correct - It builds experience
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Losing a client to preserve integrity is?,A failure,A success for the profession,A fireable offense,OptionB,Correct - Integrity > Revenue
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Reflecting on a near miss helps reveal?,Process flaws,Who to fire,Nothing,OptionA,Correct - Learning from close calls is free experience
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Recognizing you obeyed authority blindly helps you?,Hide it,Prepare for next time,Blame the boss,OptionB,Correct - Self-awareness prevents repeat failures
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Discouraging reflection leads to?,Efficiency,Entrenched bad habits,Growth,OptionB,Correct - Repeating mistakes becomes the norm
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Doing Nothing is a valid Act if?,You are busy,It is a conscious ethical choice,You are scared,OptionB,Correct - Inaction can be valid if chosen after analysis
Module,SubTopic,Difficulty,Question,OptionA,OptionB,OptionC,Answer,Explanation
LM 1: Ethical Decision-Making,Framework Overview,Hard (Exam Level),What is the correct order of the Framework?,Identify - Consider - Act - Reflect,Identify - Act - Consider - Reflect,Consider - Identify - Act - Reflect,OptionA,Correct - The standard sequence starts with facts and ends with reflection
LM 1: Ethical Decision-Making,Framework Overview,Hard (Exam Level),The Framework is primarily designed for?,Strict legal compliance,Situations where rules are ambiguous (gray areas),Maximizing profit,OptionB,Correct - It is for when laws and rules do not provide a clear answer
LM 1: Ethical Decision-Making,Framework Overview,Hard (Exam Level),Seeking additional guidance happens in which phase?,Identify,Act,Consider,OptionC,Correct - Consultation is part of the analysis in the Consider phase
LM 1: Ethical Decision-Making,Framework Overview,Hard (Exam Level),The framework is described as iterative because?,You may need to cycle back to Identify if new facts emerge,It repeats every year,You must do it twice to be sure,OptionA,Correct - New information often requires restarting the analysis
LM 1: Ethical Decision-Making,Framework Overview,Hard (Exam Level),Who is the ultimate beneficiary of the Framework?,The client,The integrity of capital markets,The firm,OptionB,Correct - The Code places market integrity as the highest priority
LM 1: Ethical Decision-Making,Framework Overview,Brutal (Above Exam),In the Consider phase what is the primary enemy of good judgment?,Legal statutes,Situational Influences (Biases),Too much data,OptionB,Correct - Biases like obedience to authority cloud judgment
LM 1: Ethical Decision-Making,Framework Overview,Brutal (Above Exam),Why is the Reflect phase often skipped?,Lack of time,Cognitive dissonance and self-justification,Firm policy,OptionB,Correct - Professionals dislike admitting errors or flaws in their process
LM 1: Ethical Decision-Making,Framework Overview,Brutal (Above Exam),Elevating the issue to a supervisor is part of which phase?,Consider,Act,Identify,OptionB,Correct - Making the decision or escalating it are both Actions
LM 1: Ethical Decision-Making,Framework Overview,Brutal (Above Exam),A culture that punishes slow decisions creates a conflict with?,The Identify Phase,The Consider Phase,The Act Phase,OptionB,Correct - Consideration requires time; speed pressure is a situational influence against it
LM 1: Ethical Decision-Making,Framework Overview,Brutal (Above Exam),Skipping the Consider phase usually leads to?,Analysis paralysis,Gut-instinct decisions based on bias,Better outcomes,OptionB,Correct - Without analysis we rely on heuristics and mental shortcuts
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),Which is a critical step in the Identify phase?,Brainstorming options,Distinguishing facts from assumptions,Making the decision,OptionB,Correct - You must separate what you know from what you assume
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),Who is considered a Stakeholder?,Only the client,Only the employer,Client - Employer - Market - and Self,OptionC,Correct - Stakeholders include everyone affected by the decision
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),When should a Conflict of Interest be identified?,Identify Phase,Act Phase,Reflect Phase,OptionA,Correct - Conflicts are key facts that define duties
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),An analyst assumes a client wants growth based on age. This is?,A Fact,An Assumption,A Duty,OptionB,Correct - Unless stated by the client this is a dangerous assumption
LM 1: Ethical Decision-Making,Identify Phase,Hard (Exam Level),Duties are owed to whom?,Client and Employer only,Client - Employer - and Market Integrity,Shareholders only,OptionB,Correct - The Code emphasizes duties to the market as well
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),What causes a Blind Spot in the Identify phase?,Overconfidence in own objectivity,Lack of data,Strict laws,OptionA,Correct - Believing you are ethical prevents you from seeing the dilemma
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),Labeling a problem as a 'business decision' instead of an 'ethical one' is?,Ethical Framing,Ethical Fading,Rationalization,OptionA,Correct - How we frame the problem dictates which part of our brain solves it
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),A bonus structure that rewards volume is?,A Fact (Situational Influence),Irrelevant,A Duty,OptionA,Correct - Incentives are facts that create pressure
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),Failing to identify Market Integrity as a stakeholder leads to?,Insider Trading or Manipulation,Better returns,Happy clients,OptionA,Correct - Ignoring the market allows cheating to help the client
LM 1: Ethical Decision-Making,Identify Phase,Brutal (Above Exam),Obedience to Authority blinds an analyst to?,Technical errors,Duties to other stakeholders,Legal rules,OptionB,Correct - Focusing on the boss makes you ignore the client
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),The purpose of the Consider phase is to?,Identify situational influences and options,Make the final call,Gather facts,OptionA,Correct - This is the analysis and brainstorming engine
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Which is a Situational Influence?,The Code of Ethics,A large pending bonus,Local Laws,OptionB,Correct - External pressures like money or power are influences
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Seeking Additional Guidance means?,Asking the client,Consulting compliance or a mentor,Checking stock prices,OptionB,Correct - Getting an outside perspective reduces bias
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Why brainstorm Alternative Actions?,To find the most profitable way,To avoid binary choices,To delay,OptionB,Correct - Usually there is a third way that solves the dilemma
LM 1: Ethical Decision-Making,Consider Phase,Hard (Exam Level),Which bias is analyzed here?,Overconfidence Bias,Home Bias,Sample Bias,OptionA,Correct - Overconfidence in ethics is a major risk
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),Acting because everyone else is doing it is?,Social Proof,Bystander Effect,Framing,OptionA,Correct - Copying the group behavior
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),Prioritizing salary over client duty is?,Self-serving bias,Rational choice,Loyalty,OptionA,Correct - Weighing personal gain over professional duty
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),Short-termism causes?,Ethical Fading,Better analysis,Compliance,OptionA,Correct - Focus on immediate goals obscures long-term risks
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),The Headline Test asks?,Will I make money?,How would this look in the newspaper?,Did I follow orders?,OptionB,Correct - It tests public defensibility
LM 1: Ethical Decision-Making,Consider Phase,Brutal (Above Exam),The Bystander Effect leads to?,Inaction in groups,Better group decisions,Whistleblowing,OptionA,Correct - Assuming someone else will handle it
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),The Act phase includes?,Brainstorming,Elevating to supervisor,Fact finding,OptionB,Correct - You either decide or escalate
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),Reflection happens?,Before the decision,After the outcome,During the act,OptionB,Correct - It is a post-mortem to learn
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),The main question in Reflect is?,Did we make money?,Did the outcome match the ethical intent?,Who is to blame?,OptionB,Correct - Comparing intent vs result
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),If a supervisor ignores an escalation you must?,Do nothing,Document and escalate further,Quit,OptionB,Correct - The duty continues until resolved
LM 1: Ethical Decision-Making,Act/Reflect Phase,Hard (Exam Level),Reflection prevents?,Future errors,Market loss,Client complaints,OptionA,Correct - It builds experience
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Losing a client to preserve integrity is?,A failure,A success for the profession,A fireable offense,OptionB,Correct - Integrity > Revenue
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Reflecting on a near miss helps reveal?,Process flaws,Who to fire,Nothing,OptionA,Correct - Learning from close calls is free experience
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Recognizing you obeyed authority blindly helps you?,Hide it,Prepare for next time,Blame the boss,OptionB,Correct - Self-awareness prevents repeat failures
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Discouraging reflection leads to?,Efficiency,Entrenched bad habits,Growth,OptionB,Correct - Repeating mistakes becomes the norm
LM 1: Ethical Decision-Making,Act/Reflect Phase,Brutal (Above Exam),Doing Nothing is a valid Act if?,You are busy,It is a conscious ethical choice,You are scared,OptionB,Correct - Inaction can be valid if chosen after analysis
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),If CFA Standards are stricter than local law you must follow?,Local Law,CFA Standards,The more lenient one,OptionB,Correct - Always follow the stricter of the two rules
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),If local law is stricter than CFA Standards you must follow?,Local Law,CFA Standards,The one you prefer,OptionA,Correct - The rule is always The Stricter Law or Standard
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),An analyst suspects a client is laundering money. The first step is?,Report to the authorities immediately,Consult compliance or legal counsel,Confront the client,OptionB,Correct - You must determine the applicable law before acting; reporting may not be mandatory or safe
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),When a member dissociates from a violation they must?,Resign immediately,Report to the SEC,Document the dissociation and stop the activity,OptionC,Correct - Resignation is a last resort; reporting is not always required
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),Investment products sold in multiple countries must comply with?,Only the laws of the headquarters,Only the laws where the client lives,Applicable laws of all involved jurisdictions,OptionC,Correct - Cross-border business involves multiple applicable laws
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),Standard I(A) requires members to not knowingly?,Make a mistake,Participate in or assist any violation of laws or standards,Lose client money,OptionB,Correct - Knowingly participating is the key violation
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),If a firm has no compliance procedures the member should?,Create them,Decline supervisory responsibility in writing,Ignore it,OptionB,Correct - You cannot supervise effectively without a system so you must decline
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),Participation in a violation includes?,Silent acquiescence (doing nothing while knowing),Reporting it,Dissociating,OptionA,Correct - Staying silent when you know a violation is occurring counts as participation
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),A member is unsure if a regulation applies. They should?,Ignore it,Seek legal or compliance advice,Ask a friend,OptionB,Correct - When in doubt you must seek counsel
Standard I: Professionalism,I(A) Knowledge of the Law,Hard (Exam Level),Which implies a violation of Standard I(A)?,Forgetting a new law,Negligence in understanding the law,Following a supervisor order that is legal but unethical,OptionB,Correct - Members must maintain knowledge; negligence is a violation
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),A country has no securities laws. A CFA member there must follow?,The Code and Standards,Whatever local custom dictates,US Law,OptionA,Correct - When local law is silent the Code is the stricter rule
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),An analyst moves to a country with stricter laws than the US. They adhere to US law. This is?,Acceptable if the firm is US based,A violation because they must follow the stricter local law,Acceptable if the client agrees,OptionB,Correct - Location of business usually dictates the applicable law if it is stricter
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),A client asks for a trade that is legal but violates the CFA Code. The member must?,Do the trade but document it,Refuse the trade,Do the trade and quit,OptionB,Correct - You cannot violate the Code even if the law permits it
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),A member reports a violation to compliance but the firm does nothing. The member must?,Report to regulators,Dissociate from the activity,Keep working,OptionB,Correct - Reporting internally is not enough if the violation continues
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),If reporting to regulators is illegal in a jurisdiction (confidentiality laws) the member should?,Report anyway,Follow the law and not report but dissociate,Resign,OptionB,Correct - Standard I(A) does not require you to break the law to report a violation
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),Distributing a misleading report prepared by another department is?,Not a violation if you didn't write it,A violation because you are assisting the dissemination,Acceptable if you add a disclaimer,OptionB,Correct - You cannot pass along misleading info even if you didn't create it
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),A member finds a discrepancy in a client's tax filing. They should?,Report to the IRS,Advise the client to correct it,Fix it themselves,OptionB,Correct - You are not a regulator; your duty is to advise the client and potentially dissociate
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),Which is the most severe form of dissociation?,Not adding your name to a report,Resignation,Asking for a different assignment,OptionB,Correct - If the firm forces you to participate resignation is the final step of dissociation
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),Following a Standard Industry Practice that violates the law is?,Acceptable as a defense,Still a violation,Acceptable if everyone does it,OptionB,Correct - Everyone does it is never a defense
Standard I: Professionalism,I(A) Knowledge of the Law,Brutal (Above Exam),A member is responsible for the violations of their subordinates if?,They participated,They knew or should have known and failed to supervise,They were on vacation,OptionB,Correct - Vicarious liability applies if supervision was negligent
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Accepting a luxury gift from a client is?,Always a violation,Allowed if disclosed to employer,Allowed if it is a surprise,OptionB,Correct - Gifts from CLIENTS are allowed if disclosed unlike gifts from issuers
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Issuer-paid research must include?,A flat fee structure and disclosure,Payment in stock warrants,A guarantee of a Buy rating,OptionA,Correct - Flat fees minimize bias; warrants create a conflict. Disclosure is mandatory
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Best practice for travel funding by a subject company is?,Accepting business class flights,Accepting private jet travel,Member pays their own travel expenses,OptionC,Correct - Paying your own way is the only method that guarantees perceived independence
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),A buy-side analyst faces pressure from a portfolio manager to support a stock. This is?,Standard business,A threat to independence,Acceptable if the stock is good,OptionB,Correct - Internal pressure is just as dangerous to objectivity as external pressure
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Which gift from a broker is most likely a violation?,A notepad,A modest dinner,Super Bowl tickets,OptionC,Correct - Lavish gifts imply a quid pro quo to direct trades to that broker
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Independence is essentially about?,Protecting the firm's profit,Protecting the integrity of the opinion,Following orders,OptionB,Correct - The opinion must be the analyst's honest unconflicted view
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),A credit rating agency is paid by the company it rates. This model?,Eliminates conflict,Creates an inherent conflict that must be managed,Is illegal,OptionB,Correct - The Issuer-Pays model is conflicted but standard; it requires strict firewalls
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),An analyst allows a subject company to review a report for?,Factual accuracy only,Tone and rating,Recommendation adjustments,OptionA,Correct - Review is for facts like counting errors not for changing the opinion
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Allocating hot IPO shares to portfolio managers for personal accounts is?,A violation of I(B),Standard perks,Allowed if disclosed,OptionA,Correct - This is spinning and bribes the manager to do business with the bank
Standard I: Professionalism,I(B) Independence & Objectivity,Hard (Exam Level),Modest gifts are generally?,Prohibited,Permitted if they don't compromise independence,Required,OptionB,Correct - Zero tolerance is not the standard; modest or customary is the key
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),An analyst attends a conference. The host pays for the hotel. This is?,A violation of I(B),Acceptable if disclosed and customary,Only acceptable if the firm pays,OptionB,Correct - If it is a standard group arrangement it may be okay but paying your own way is better
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),A manager threatens to fire an analyst for a Sell rating on a banking client. The analyst should?,Change the rating,Stand firm and possibly dissociate/resign,Soften the tone but keep the rating,OptionB,Correct - Caveating to threats destroys the integrity of the research
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),A flat-fee issuer-paid report is released. The analyst buys the stock before release. This is?,Front-running and a violation of Independence,Smart investing,Allowed if disclosed,OptionA,Correct - You cannot claim objectivity if you are trading ahead of your own promo piece
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),Accepting a chartered flight to a remote mine site is?,Always a violation,Acceptable if commercial flights are unavailable,Never allowed,OptionB,Correct - Practicality exception: If you can't get there otherwise it is allowed but try to pay a prorated share
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),A Firewall between Investment Banking and Research is designed to?,Stop information flow completely,Protect analysts from banking pressure,Prevent analysts from talking to clients,OptionB,Correct - It ensures bankers don't force analysts to write positive reports to win deals
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),An analyst owns stock in a company they cover. To comply with I(B) they must?,Sell the stock,Disclose it and potentially limit trading,Buy more to show conviction,OptionB,Correct - Ownership is not banned but creates a conflict that must be strictly managed and disclosed
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),A client promises a bonus if the portfolio performs well. This creates a conflict between?,Member and Client,Member's self-interest and other clients,Member and Employer,OptionB,Correct - The manager might favor this bonus-paying client over others or allocation bias
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),Corporate management dislikes an analyst's questions and cuts off access. The analyst should?,Change the rating to Buy to regain access,Use other sources and maintain the independent view,Apologize,OptionB,Correct - Access is valuable but not at the cost of your soul/opinion
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),Accepting a gift from a client requires disclosure to whom?,The SEC,The Employer,The other clients,OptionB,Correct - The employer must judge if the gift causes bias
Standard I: Professionalism,I(B) Independence & Objectivity,Brutal (Above Exam),An analyst uses a broker because the broker refers wealthy clients to the firm. This is?,A Referral Fee setup,A violation of Objectivity in broker selection,Standard networking,OptionB,Correct - Broker selection must be based on Best Execution for the client not who helps the analyst's business
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Guaranteeing a specific return on a volatile asset is?,Always a violation,Allowed if the model predicts it,Allowed for long-term clients,OptionA,Correct - You cannot guarantee returns on risky assets ever
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Using a third-party report without citing the source is?,Plagiarism and a violation,Acceptable if you paid for it,Acceptable if you change a few words,OptionA,Correct - You must acknowledge the source of the data or analysis
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),An analyst omits negative facts to make a sale. This is?,Misrepresentation,Salesmanship,Selective Disclosure,OptionA,Correct - Omission of material fact is a form of misrepresentation
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Claiming to be a CFA before passing Level 3 is?,A violation of Misrepresentation,Allowed if you are a candidate,Allowed if you passed Level 2,OptionA,Correct - You cannot misrepresent your status; you are a Candidate only
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Using a model developed by the firm without citing the specific creator is?,Acceptable,Plagiarism,A violation,OptionA,Correct - Firm property does not require citing the specific employee
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Promising guaranteed preservation of capital in a risk-free government bond fund is?,Acceptable,Misrepresentation,A violation because nothing is risk-free,OptionA,Correct - If the asset is truly risk-free like T-Bills you can say it
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Cherry-picking only the best performance years for a chart is?,Misrepresentation,Standard marketing,Allowed if disclosed in footnotes,OptionA,Correct - This misleads the client about the true performance history
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Presenting a backtest as real historical performance is?,A major violation,Allowed with a disclaimer,Standard practice,OptionA,Correct - You must distinguish between Backtested (Simulated) and Real results
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Quoting a benchmark that has nothing to do with the fund's strategy is?,Misrepresentation,Benchmarking,Allowed if the benchmark is famous,OptionA,Correct - The benchmark must be comparable otherwise it misleads investors
Standard I: Professionalism,I(C) Misrepresentation,Hard (Exam Level),Plagiarism applies to?,Written reports - oral presentations - and charts,Only written reports,Only published books,OptionA,Correct - It applies to any communication
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),An analyst uses a modified chart from the central bank but doesn't cite it. This is?,Plagiarism,Acceptable because it is public data,Acceptable if modified significantly,OptionA,Correct - Even public data charts should be cited if used directly
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),A firm claims We always outperform the market. This is?,Promissory and a violation,Acceptable puffery,Allowed if true in the past,OptionA,Correct - You cannot guarantee future performance or consistent outperformance
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Using snippets of a news article in a report without quotes is?,Plagiarism,Fair Use,Acceptable if reworded,OptionA,Correct - You must quote or cite the source
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Listing CFA Institute as a partner because you are a member is?,Misrepresentation,Factually correct,Good marketing,OptionA,Correct - Being a member does not make the Institute your partner
